CG	OMIM_ID	REF_SEQ	e_value	gene	description	disease
CG32626-PD	102770	NP_000027	0	AMPD1	AMP DEAMINASE	Myoadenylate deaminase deficiency (3)
CG1651-PA	182900	NP_000028	0	ANK1;SPH2	SPHEROCYTOSIS, SEVERE ATYPICAL, DUE TO SUSPECTED ANKYRIN DEFECT	Spherocytosis-2 (3)
CG1651-PB	182900	NP_000028	0	ANK1;SPH2	SPHEROCYTOSIS, SEVERE ATYPICAL, DUE TO SUSPECTED ANKYRIN DEFECT	Spherocytosis-2 (3)
CG1651-PC	182900	NP_000028	0	ANK1;SPH2	SPHEROCYTOSIS, SEVERE ATYPICAL, DUE TO SUSPECTED ANKYRIN DEFECT	Spherocytosis-2 (3)
CG1651-PD	182900	NP_000028	0	ANK1;SPH2	SPHEROCYTOSIS, SEVERE ATYPICAL, DUE TO SUSPECTED ANKYRIN DEFECT	Spherocytosis-2 (3)
CG7462-PB	182900	NP_000028	0	ANK1;SPH2	SPHEROCYTOSIS, SEVERE ATYPICAL, DUE TO SUSPECTED ANKYRIN DEFECT	Spherocytosis-2 (3)
CG7462-PC	182900	NP_000028	0	ANK1;SPH2	SPHEROCYTOSIS, SEVERE ATYPICAL, DUE TO SUSPECTED ANKYRIN DEFECT	Spherocytosis-2 (3)
CG1886-PA	300011	NP_000043	0	ATP7A;MK;MNK;OHS		Cutis laxa, neonatal (3);Menkes disease, 309400 (3);Occipital horn syndrome, 304150 (3)
CG1886-PA	606882	NP_000044	0	ATP7B;WND		Wilson disease, 277900 (3)
CG1522-PA	601011	NP_000059	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG4894-PA	601011	NP_000059	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG4894-PB	601011	NP_000059	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG4894-PC	601011	NP_000059	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG4894-PD	601011	NP_000059	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG1522-PA	114208	NP_000060	0	CACNA1S;CACNL1A3;CCHL1A3	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 3, SKELETAL;CALCIUM CHANNEL, SKELETAL MUSCLE DIHYDROPYRIDINE-SENSITIVE, ALPHA-1;CCHL1A3;MUSCLE; CACNL1A3;SUBUNIT	Hypokalemic periodic paralysis, 170400 (3);{Malignant hyperthermia susceptibility 5}, 601887 (3);{Thyrotoxic periodic paralysis, susceptibility to}, 188580 (3)
CG4894-PA	114208	NP_000060	0	CACNA1S;CACNL1A3;CCHL1A3	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 3, SKELETAL;CALCIUM CHANNEL, SKELETAL MUSCLE DIHYDROPYRIDINE-SENSITIVE, ALPHA-1;CCHL1A3;MUSCLE; CACNL1A3;SUBUNIT	Hypokalemic periodic paralysis, 170400 (3);{Malignant hyperthermia susceptibility 5}, 601887 (3);{Thyrotoxic periodic paralysis, susceptibility to}, 188580 (3)
CG4894-PB	114208	NP_000060	0	CACNA1S;CACNL1A3;CCHL1A3	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 3, SKELETAL;CALCIUM CHANNEL, SKELETAL MUSCLE DIHYDROPYRIDINE-SENSITIVE, ALPHA-1;CCHL1A3;MUSCLE; CACNL1A3;SUBUNIT	Hypokalemic periodic paralysis, 170400 (3);{Malignant hyperthermia susceptibility 5}, 601887 (3);{Thyrotoxic periodic paralysis, susceptibility to}, 188580 (3)
CG4894-PC	114208	NP_000060	0	CACNA1S;CACNL1A3;CCHL1A3	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 3, SKELETAL;CALCIUM CHANNEL, SKELETAL MUSCLE DIHYDROPYRIDINE-SENSITIVE, ALPHA-1;CCHL1A3;MUSCLE; CACNL1A3;SUBUNIT	Hypokalemic periodic paralysis, 170400 (3);{Malignant hyperthermia susceptibility 5}, 601887 (3);{Thyrotoxic periodic paralysis, susceptibility to}, 188580 (3)
CG4894-PD	114208	NP_000060	0	CACNA1S;CACNL1A3;CCHL1A3	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 3, SKELETAL;CALCIUM CHANNEL, SKELETAL MUSCLE DIHYDROPYRIDINE-SENSITIVE, ALPHA-1;CCHL1A3;MUSCLE; CACNL1A3;SUBUNIT	Hypokalemic periodic paralysis, 170400 (3);{Malignant hyperthermia susceptibility 5}, 601887 (3);{Thyrotoxic periodic paralysis, susceptibility to}, 188580 (3)
CG5284-PA	300008	NP_000075	0	CLCK2;CLCN5;DENTS;NPHL2	CHLORIDE CHANNEL, VOLTAGE-GATED, K2; CLCK2;CLC5	Dent disease, 300009 (3);Hypophosphatemia, type III (3);Nephrolithiasis, type I, 310468 (3);Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis (3)
CG5284-PB	300008	NP_000075	0	CLCK2;CLCN5;DENTS;NPHL2	CHLORIDE CHANNEL, VOLTAGE-GATED, K2; CLCK2;CLC5	Dent disease, 300009 (3);Hypophosphatemia, type III (3);Nephrolithiasis, type I, 310468 (3);Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis (3)
CG7430-PA	238331	NP_000099	0	DLD;LAD;PHE3	BRANCHED CHAIN ALPHA-KETO ACID DEHYDROGENASE COMPLEX, E3 COMPONENT;DIAPHORASE;DIHYDROLIPOYL DEHYDROGENASE;GLYCINE CLEAVAGE SYSTEM L PROTEIN; GCSL;LIPOAMIDE DEHYDROGENASE; LAD;LIPOAMIDE REDUCTASE;LIPOYL DEHYDROGENASE;PYRUVATE DEHYDROGENASE COMPONENT E3; PHE3; E3	Leigh syndrome, 256000 (3);Maple syrup urine disease, type III, 248600 (3)
CG31175-PA	300377	NP_000100	0	BMD;CMD3B;DMD		Becker muscular dystrophy, 300376 (3);Cardiomyopathy, dilated, 3B, 302045 (3);Duchenne muscular dystrophy, 310200 (3)
CG31175-PB	300377	NP_000100	0	BMD;CMD3B;DMD		Becker muscular dystrophy, 300376 (3);Cardiomyopathy, dilated, 3B, 302045 (3);Duchenne muscular dystrophy, 310200 (3)
CG31175-PC	300377	NP_000100	0	BMD;CMD3B;DMD		Becker muscular dystrophy, 300376 (3);Cardiomyopathy, dilated, 3B, 302045 (3);Duchenne muscular dystrophy, 310200 (3)
CG2194-PB	274270	NP_000101	0	DPD;DPYD	DIHYDROPYRIMIDINURIA; DHP;DPD	Thymine-uraciluria (3);{Fluorouracil toxicity, sensitivity to} (3)
CG2194-PC	274270	NP_000101	0	DPD;DPYD	DIHYDROPYRIMIDINURIA; DHP;DPD	Thymine-uraciluria (3);{Fluorouracil toxicity, sensitivity to} (3)
CG8019-PA	133510	NP_000113	0	ERCC3;XPB	XPB GENE; XPB	Trichothiodystrophy, 601675 (3);Xeroderma pigmentosum, group B, 610651 (3)
CG10117-PA	608177	NP_000118	0	EXT1	EXT	Chondrosarcoma, 215300 (3);Exostoses, multiple, type 1, 133700 (3)
CG4094-PA	136850	NP_000134	0	FH	FUMARASE	Fumarase deficiency, 606812 (3);Leiomyomatosis and renal cell cancer, 605839 (3);Multiple cutaneous and uterine leiomyomata, 150800 (3)
CG4094-PB	136850	NP_000134	0	FH	FUMARASE	Fumarase deficiency, 606812 (3);Leiomyomatosis and renal cell cancer, 605839 (3);Multiple cutaneous and uterine leiomyomata, 150800 (3)
CG4095-PA	136850	NP_000134	0	FH	FUMARASE	Fumarase deficiency, 606812 (3);Leiomyomatosis and renal cell cancer, 605839 (3);Multiple cutaneous and uterine leiomyomata, 150800 (3)
CG33138-PA	607839	NP_000149	0	GBE1	1,4-@ALPHA-GLUCAN BRANCHING ENZYME;AMYLO-(1,4 to 1,6) TRANSGLUCOSIDASE;AMYLO-(1,4 to 1,6) TRANSGLYCOSYLASE;GBE	Glycogen storage disease IV, 232500 (3)
CG3999-PA	238300	NP_000161	0	GCE;GCSP;GLDC;HYGN1;NKH	GLYCINE CLEAVAGE SYSTEM P PROTEIN; GCSP;GLYCINE DEHYDROGENASE	Glycine encephalopathy, 605899 (3)
CG8251-PA	172400	NP_000166	0	GPI	AUTOCRINE MOTILITY FACTOR; AMF;GLUCOSEPHOSPHATE ISOMERASE;NEUROLEUKIN; NLK;PHOSPHOGLUCOSE ISOMERASE; PGI;PHOSPHOHEXOSE ISOMERASE; PHI	Hemolytic anemia due to glucosephosphate isomerase deficiency (3);Hydrops fetalis, one form (1)
CG8251-PB	172400	NP_000166	0	GPI	AUTOCRINE MOTILITY FACTOR; AMF;GLUCOSEPHOSPHATE ISOMERASE;NEUROLEUKIN; NLK;PHOSPHOGLUCOSE ISOMERASE; PGI;PHOSPHOHEXOSE ISOMERASE; PHI	Hemolytic anemia due to glucosephosphate isomerase deficiency (3);Hydrops fetalis, one form (1)
CG8251-PC	172400	NP_000166	0	GPI	AUTOCRINE MOTILITY FACTOR; AMF;GLUCOSEPHOSPHATE ISOMERASE;NEUROLEUKIN; NLK;PHOSPHOGLUCOSE ISOMERASE; PGI;PHOSPHOHEXOSE ISOMERASE; PHI	Hemolytic anemia due to glucosephosphate isomerase deficiency (3);Hydrops fetalis, one form (1)
CG7003-PA	600678	NP_000170	0	GTBP;HNPCC5;MSH6	G/T MISMATCH-BINDING PROTEIN; GTBP	Colorectal cancer, hereditary nonpolyposis, type 5 (3);Endometrial carcinoma (3);Ovarian cancer, endometrial type (3);{Cancer susceptibility} (3)
CG4389-PA	600890	NP_000173	0	HADHA;MTPA	ALPHA SUBUNIT; HADHA;ECHA;LONG-CHAIN HYDROXYACYL-CoA DEHYDROGENASE; LCHAD;MITOCHONDRIAL TRIFUNCTIONAL PROTEIN, ALPHA SUBUNIT; MTPA;TRIFUNCTIONAL PROTEIN, ALPHA SUBUNIT	Fatty liver, acute, of pregnancy (3);HELLP syndrome, maternal, of pregnancy (3);LCHAD deficiency (3);Trifunctional protein deficiency, type 1 (3)
CG4389-PB	600890	NP_000173	0	HADHA;MTPA	ALPHA SUBUNIT; HADHA;ECHA;LONG-CHAIN HYDROXYACYL-CoA DEHYDROGENASE; LCHAD;MITOCHONDRIAL TRIFUNCTIONAL PROTEIN, ALPHA SUBUNIT; MTPA;TRIFUNCTIONAL PROTEIN, ALPHA SUBUNIT	Fatty liver, acute, of pregnancy (3);HELLP syndrome, maternal, of pregnancy (3);LCHAD deficiency (3);Trifunctional protein deficiency, type 1 (3)
CG4389-PC	600890	NP_000173	0	HADHA;MTPA	ALPHA SUBUNIT; HADHA;ECHA;LONG-CHAIN HYDROXYACYL-CoA DEHYDROGENASE; LCHAD;MITOCHONDRIAL TRIFUNCTIONAL PROTEIN, ALPHA SUBUNIT; MTPA;TRIFUNCTIONAL PROTEIN, ALPHA SUBUNIT	Fatty liver, acute, of pregnancy (3);HELLP syndrome, maternal, of pregnancy (3);LCHAD deficiency (3);Trifunctional protein deficiency, type 1 (3)
CG18402-PA	147670	NP_000199	0	HHF5;INSR		Diabetes mellitus, insulin-resistant, with acanthosis nigricans, 610549 (3);Hyperinsulinemic hypoglycemia, familial, 5, 609968 (3);Leprechaunism, 246200 (3);Rabson-Mendenhall syndrome, 262190 (3)
CG5602-PA	126391	NP_000225	0	LIG1	DNA LIGASE I	DNA ligase I deficiency (3)
CG3182-PA	152427	NP_000229	0	HERG;KCNH2;LQT2;SQT1	ERG1;ETHER-A-GO-GO-RELATED GENE, HUMAN;HUMAN ETHER-A-GO-GO-RELATED GENE; HERG	Long QT syndrome-2 (3);Short QT syndrome-1, 609620 (3);{Long QT syndrome, acquired, susceptibility to} (3)
CG3182-PB	152427	NP_000229	0	HERG;KCNH2;LQT2;SQT1	ERG1;ETHER-A-GO-GO-RELATED GENE, HUMAN;HUMAN ETHER-A-GO-GO-RELATED GENE; HERG	Long QT syndrome-2 (3);Short QT syndrome-1, 609620 (3);{Long QT syndrome, acquired, susceptibility to} (3)
CG11482-PA	120436	NP_000240	0	COCA2;HNPCC2;MLH1		Cafe-au-lait spots with glioma or leukemia, 114030 (3);Colorectal cancer, hereditary nonpolyposis, type 2, 609310 (3);Muir-Torre syndrome, 158320 (3);Turcot syndrome with glioblastoma, 276300 (3)
CG4215-PA	162200	NP_000242	0	NF1;NFNS;VRNF;WSS	NEUROFIBROMATOSIS;VON RECKLINGHAUSEN DISEASE	Leukemia, juvenile myelomonocytic, 607785 (3);Melanoma, desmoplastic neurotropic (2);Neurofibromatosis, familial spinal, 162210 (3);Neurofibromatosis, type 1 (3);Neurofibromatosis-Noonan syndrome, 601321 (3);Pseudarthrosis, tibial, in NF1 (3);Watson syndrome, 193520 (3)
CG4215-PA	609309	NP_000242	0	COCA1;FCC1;HNPCC1;MSH2		Cafe-au-lait spots, multiple, with leukemia, 114030 (3);Colorectal cancer, hereditary nonpolyposis, type 1, 120435 (3);Glioblastoma, early-onset, 137800 (3);Lymphoma, T-cell (3);Lynch cancer family syndrome II, 114400 (3);Muir-Torre syndrome, 158320 (3);Neurofibromatosis, type I, with leukemia, 162200 (3);Ovarian cancer (3)
CG4215-PB	162200	NP_000242	0	NF1;NFNS;VRNF;WSS	NEUROFIBROMATOSIS;VON RECKLINGHAUSEN DISEASE	Leukemia, juvenile myelomonocytic, 607785 (3);Melanoma, desmoplastic neurotropic (2);Neurofibromatosis, familial spinal, 162210 (3);Neurofibromatosis, type 1 (3);Neurofibromatosis-Noonan syndrome, 601321 (3);Pseudarthrosis, tibial, in NF1 (3);Watson syndrome, 193520 (3)
CG4215-PB	609309	NP_000242	0	COCA1;FCC1;HNPCC1;MSH2		Cafe-au-lait spots, multiple, with leukemia, 114030 (3);Colorectal cancer, hereditary nonpolyposis, type 1, 120435 (3);Glioblastoma, early-onset, 137800 (3);Lymphoma, T-cell (3);Lynch cancer family syndrome II, 114400 (3);Muir-Torre syndrome, 158320 (3);Neurofibromatosis, type I, with leukemia, 162200 (3);Ovarian cancer (3)
CG9115-PA	300415	NP_000243	0	MTM1;MTMX		Myotubular myopathy, X-linked, 310400 (3)
CG15792-PA	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG15792-PB	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PA	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PB	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PC	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PD	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PE	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PF	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PG	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PH	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PI	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PJ	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PK	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PL	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG17927-PM	160760	NP_000248	0	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG2146-PA	160777	NP_000250	0	GS1;MYH12;MYO5A	DILUTE, MOUSE, HOMOLOG OF;MYO5;MYOSIN, HEAVY CHAIN 12; MYH12;MYOXIN	Griscelli syndrome, type 1, 214450 (3)
CG2146-PB	160777	NP_000250	0	GS1;MYH12;MYO5A	DILUTE, MOUSE, HOMOLOG OF;MYO5;MYOSIN, HEAVY CHAIN 12; MYH12;MYOXIN	Griscelli syndrome, type 1, 214450 (3)
CG2146-PC	160777	NP_000250	0	GS1;MYH12;MYO5A	DILUTE, MOUSE, HOMOLOG OF;MYO5;MYOSIN, HEAVY CHAIN 12; MYH12;MYOXIN	Griscelli syndrome, type 1, 214450 (3)
CG6976-PA	276903	NP_000251	0	DFNA11;DFNB2;MYO7A;USH1B	MYOSIN, UNCONVENTIONAL, FAMILY VII, MEMBER A; MYU7A	Deafness, autosomal dominant 11, neurosensory, 601317 (3);Deafness, autosomal recessive 2, neurosensory, 600060 (3);Usher syndrome, type 1B, 276900 (3)
CG6976-PB	276903	NP_000251	0	DFNA11;DFNB2;MYO7A;USH1B	MYOSIN, UNCONVENTIONAL, FAMILY VII, MEMBER A; MYU7A	Deafness, autosomal dominant 11, neurosensory, 601317 (3);Deafness, autosomal recessive 2, neurosensory, 600060 (3);Usher syndrome, type 1B, 276900 (3)
CG6976-PC	276903	NP_000251	0	DFNA11;DFNB2;MYO7A;USH1B	MYOSIN, UNCONVENTIONAL, FAMILY VII, MEMBER A; MYU7A	Deafness, autosomal dominant 11, neurosensory, 601317 (3);Deafness, autosomal recessive 2, neurosensory, 600060 (3);Usher syndrome, type 1B, 276900 (3)
CG6976-PD	276903	NP_000251	0	DFNA11;DFNB2;MYO7A;USH1B	MYOSIN, UNCONVENTIONAL, FAMILY VII, MEMBER A; MYU7A	Deafness, autosomal dominant 11, neurosensory, 601317 (3);Deafness, autosomal recessive 2, neurosensory, 600060 (3);Usher syndrome, type 1B, 276900 (3)
CG7595-PA	276903	NP_000251	0	DFNA11;DFNB2;MYO7A;USH1B	MYOSIN, UNCONVENTIONAL, FAMILY VII, MEMBER A; MYU7A	Deafness, autosomal dominant 11, neurosensory, 601317 (3);Deafness, autosomal recessive 2, neurosensory, 600060 (3);Usher syndrome, type 1B, 276900 (3)
CG7595-PB	276903	NP_000251	0	DFNA11;DFNB2;MYO7A;USH1B	MYOSIN, UNCONVENTIONAL, FAMILY VII, MEMBER A; MYU7A	Deafness, autosomal dominant 11, neurosensory, 601317 (3);Deafness, autosomal recessive 2, neurosensory, 600060 (3);Usher syndrome, type 1B, 276900 (3)
CG12092-PA	607623	NP_000262	0	NPC;NPC1		Niemann-Pick disease, type C1, 257220 (3);Niemann-Pick disease, type D, 257220 (3)
CG5722-PA	607623	NP_000262	0	NPC;NPC1		Niemann-Pick disease, type C1, 257220 (3);Niemann-Pick disease, type D, 257220 (3)
CG4001-PA	610681	NP_000280	0		PFK, MUSCLE TYPE	
CG4001-PB	610681	NP_000280	0		PFK, MUSCLE TYPE	
CG4001-PC	610681	NP_000280	0		PFK, MUSCLE TYPE	
CG7766-PA	306000	NP_000283	0	PHK;PHKA2	GLYCOGENOSIS VIIIA;HEPATIC PHOSPHORYLASE KINASE DEFICIENCY; PHK;LIVER GLYCOGENOSIS, X-LINKED, TYPE I;PHOSPHORYLASE KINASE DEFICIENCY OF LIVER; PYK; PYKL;X-LINKED LIVER GLYCOGENOSIS; XLG	Glycogenosis, X-linked hepatic, type I (3);Glycogenosis, X-linked hepatic, type II (3)
CG7766-PB	306000	NP_000283	0	PHK;PHKA2	GLYCOGENOSIS VIIIA;HEPATIC PHOSPHORYLASE KINASE DEFICIENCY; PHK;LIVER GLYCOGENOSIS, X-LINKED, TYPE I;PHOSPHORYLASE KINASE DEFICIENCY OF LIVER; PYK; PYKL;X-LINKED LIVER GLYCOGENOSIS; XLG	Glycogenosis, X-linked hepatic, type I (3);Glycogenosis, X-linked hepatic, type II (3)
CG8475-PA	172490	NP_000284	0	PHKB		Phosphorylase kinase deficiency of liver and muscle, autosomal recessive, 261750 (3)
CG6199-PA	153454	NP_000293	0	PLOD;PLOD1	LYSINE HYDROXYLASE;LYSYL HYDROXYLASE 1; LH1;LYSYL HYDROXYLASE; LLH; LH	Ehlers-Danlos syndrome, type VI, 225400 (3);Nevo syndrome, 601451 (3)
CG6199-PB	153454	NP_000293	0	PLOD;PLOD1	LYSINE HYDROXYLASE;LYSYL HYDROXYLASE 1; LH1;LYSYL HYDROXYLASE; LLH; LH	Ehlers-Danlos syndrome, type VI, 225400 (3);Nevo syndrome, 601451 (3)
