transformant id	construct id	library	cg number	on targets 	off targets	s19	can repeats	viability	chromosome nr	status	fb numbers	synonyms
853	51	GD	CG8224	1	0	1	2	viable	3	available	"FBgn0011300
FBgn0015469
FBgn0021802
FBgn0004835"	"Atr45A
ATR-1
Gprk3
l(2)44Fd
ATR-I
Atf1
Atr-1
Activin A receptor 45A
Activin Type I receptor
baboon
l(2)k16912
STK-E
Bab
G protein-coupled receptor kinase 3
babo
atr-I
AtrI
Baboon
Babo
Gprk-3
Atr-I
BABO"
858	52	GD	CG31183	1	1	0.99	2	viable	3	available	"FBgn0051183
FBgn0038379
FBgn0038378"	"CG4224
CG11846
GYC"
859	52	GD	CG31183	1	1	0.99	2	viable	3	available	"FBgn0038379
FBgn0051183
FBgn0038378"	"CG4224
CG11846
GYC"
865	55	GD	CG10776	1	0	1	3	viable	2	available	"FBgn0015807
FBgn0027993
FBgn0035493
FBgn0024179
FBgn0014282
FBgn0027362"	"Wishful thinking
wit
Wishful Thinking
Wit
WIT
SE20
wishful thinking
ALK3/BMPRII
Serine/threonine kinase-D
Stk-D
STK-D
l(3)64Aa
l(3)S126215
l(3)SH12
1262/15"
870	61	GD	CG31806	1	4	0.96	3	viable	3	available	"FBgn0032623
FBgn0051806
FBgn0063618"	CG4855
871	61	GD	CG31806	1	4	0.96	3	lethal	3	available	"FBgn0051806
FBgn0063618
FBgn0032623"	CG4855
877	65	GD	CG33141	1	0	1	2	sterile	3	available	"FBgn0033336
FBgn0033333
FBgn0053141
FBgn0040776
FBgn0033334
FBgn0024189
FBgn0033332
FBgn0026614
FBgn0033335
FBgn0042193
FBgn0033331"	"CG13752
43-49
Sticks and Stones
CG12495
CG2385
CG8278
Sticks-and-Stones
CG13753
CG13754
CG13755
sticks and stones
Sns
Sticks and stones
CT33230
Sens
stick-and-stones
sns20
CT33232
Sticks-and-stones
CG18464
rost
sticks-and-stones
sns
SNS"
879	66	GD	CG8967	1	0	1	2	viable	2	available	"FBgn0082205
FBgn0004839"	"OTK
dTrk
CT25769
anon-WO2004063362.81
Dtkr
Tyrosine kinase at 48D
Tk48D
Trk48D
Dtrk
DTrk
Otk
OFT/TRK
otk
Off-track
IGGtyk
off-track"
882	1	GD	CG18095	1	0	1	2	viable	2	available	"FBgn0028872
FBgn0032543"	"gp150-like
BG:DS05899.7
DS05899.7"
884	1	GD	CG18095	1	0	1	2	viable	2	available	"FBgn0028872
FBgn0032543"	"DS05899.7
BG:DS05899.7
gp150-like"
885	1	GD	CG18095	1	0	1	2	viable	2	available	"FBgn0032543
FBgn0028872"	"DS05899.7
gp150-like
BG:DS05899.7"
886	1	GD	CG18095	1	0	1	2	viable	2	available	"FBgn0028872
FBgn0032543"	"BG:DS05899.7
DS05899.7
gp150-like"
899	10	GD	CG5820	1	0	1	3	viable	3	available	"FBgn0013272
FBgn0025238
FBgn0027193
FBgn0022992"	"anon-EST:fe2A1
l(2)52A
p150
GP150
anon-fast-evolving-2A1
CT18251
glycoprotein 150
gp150
Gp150"
900	10	GD	CG5820	1	0	1	3	viable	3	available	"FBgn0027193
FBgn0022992
FBgn0013272
FBgn0025238"	"anon-fast-evolving-2A1
CT18251
anon-EST:fe2A1
glycoprotein 150
p150
gp150
l(2)52A
Gp150
GP150"
904	15	GD	CG8930	1	0	1	2	viable	3	available	FBgn0003255	"rk/CG8930
rk
glycoprotein hormone receptor II
glycoprotein-hormone-receptor-II
CT25644
leucine-rich repeat-containing G protein-coupled receptor 2
BG:DS00180.13
rickets
LGR2
DLGR2
DLGR-2"
905	15	GD	CG8930	1	0	1	2	viable	3	available	FBgn0003255	"glycoprotein-hormone-receptor-II
CT25644
glycoprotein hormone receptor II
DLGR2
leucine-rich repeat-containing G protein-coupled receptor 2
rk
DLGR-2
rk/CG8930
rickets
BG:DS00180.13
LGR2"
907	20	GD	CG7896	1	1	0.99	2	viable	2	available	FBgn0039728	"tartan/capricious-like
CT23878"
908	20	GD	CG7896	1	1	0.99	2	viable	3	available	FBgn0039728	"tartan/capricious-like
CT23878"
914	27	GD	CG9431	1	0	1	3	viable	3	available	FBgn0032484	"kekkon4
kek4
kekkon-like
CT26742"
915	27	GD	CG9431	1	0	1	3	viable	2	available	FBgn0032484	"CT26742
kekkon-like
kekkon4
kek4"
920	29	GD	CG5096	1	0	1	0	lethal	3	available	FBgn0032235	CT16355
923	30	GD	CG5528	1	0	1	5	lethal	2	available	FBgn0036978	"dTLR9
Tl-5
Tl-9
Dm Toll-9
toll
toll receptor
CT17508
TOLL 9
Toll 9
Tak/Toll-like
Toll-9
dToll9"
924	30	GD	CG5528	1	0	1	5	viable	1	available	FBgn0036978	"Dm Toll-9
toll receptor
dTLR9
dToll9
Toll-9
CT17508
Toll 9
TOLL 9
toll
Tak/Toll-like
Tl-5
Tl-9"
925	30	GD	CG5528	1	0	1	5	lethal	2	available	FBgn0036978	"CT17508
Tl-5
Tl-9
dTLR9
dToll9
TOLL 9
Tak/Toll-like
toll receptor
Toll-9
Dm Toll-9
toll
Toll 9"
927	35	GD	CG7250	1	0	1	3	lethal	2	available	FBgn0036494	"dTLR6
18w-like
toll receptor
Toll-6
CT22359
toll-6
Tl-6
toll
TOLL 6
dToll6"
928	35	GD	CG7250	1	0	1	3	viable	2	available	FBgn0036494	"TOLL 6
toll
Toll-6
dToll6
toll receptor
Tl-6
toll-6
18w-like
CT22359
dTLR6"
932	40	GD	CG4926	1	0	1	2	viable	3	available	"FBgn0010407
FBgn0022797"	"ROR1
DmHD-2
ROR
DRor
Ror
HD-2
Dror"
935	40	GD	CG4926	1	0	1	2	viable	3	available	"FBgn0010407
FBgn0022797"	"DRor
Dror
Ror
ROR1
DmHD-2
HD-2
ROR"
937	79	GD	CG12676	1	0	1	2	lethal	2	available	"FBgn0031584
FBgn0022256
FBgn0031582
FBgn0031583
FBgn0000547"	"1X5
CT35484
CT13476
echinoid
CG15424
CG16842
ed
l(2)k01102
Ed
Echinoid
E(Elp)24D
E(Elp)[24D]"
938	79	GD	CG12676	1	0	1	2	viable	2	available	"FBgn0022256
FBgn0031582
FBgn0031584
FBgn0031583
FBgn0000547"	"1X5
CT35484
l(2)k01102
E(Elp)[24D]
CG16842
Ed
CT13476
E(Elp)24D
Echinoid
echinoid
CG15424
ed"
939	80	GD	CG5803	1	0	1	2	viable	2	available	FBgn0000636	"Fascicilin III
fas3
Fas3
FAS3
Fasciclin3
fasciclin III
Fasiclin III
fasciclin 3
fas III
fas-III
Fas-III
Fas III
Fasciclin III
Fas
FascIII
fasIII
Fas-3
FasciclinIII
FASIII
FasIII
Fasciclin 3
fasciclin II
Fasiciclin III
FAS III
fasciclinIII
fasiclin III
FsciclinIII
Fasciclin
Fascilin III
fascIII
FasIIIface"
940	80	GD	CG5803	1	0	1	2	viable	3	available	FBgn0000636	"fas3
FAS3
fasciclin II
Fasciclin 3
fasiclin III
Fasiciclin III
Fas3
Fasiclin III
fasIII
Fascilin III
FAS III
FascIII
FasciclinIII
fasciclinIII
Fas III
fas-III
Fas-III
fasciclin III
FASIII
Fasciclin III
fascIII
fas III
Fas-3
FasIII
Fasciclin3
Fascicilin III
fasciclin 3
FasIIIface
FsciclinIII
Fas
Fasciclin"
942	81	GD	CG10975	1	0	1	3	lethal	2	available	FBgn0014007	"DPTP69D
Dptp69D
dptp69D
dptp69d
DPTP
Ptp69d
ptp69D
PTP69D
Ptp69D
ptp69d
protein tyrosine phosphatase PTP69D
Protein tyrosine phosphatase 69D
PTPase
R-PTP 69D
CT30751
Ptp"
943	81	GD	CG10975	1	0	1	3	lethal	2	available	FBgn0014007	"PTPase
ptp69d
dptp69D
R-PTP 69D
CT30751
dptp69d
ptp69D
Dptp69D
DPTP
PTP69D
Ptp
protein tyrosine phosphatase PTP69D
Ptp69d
Ptp69D
Protein tyrosine phosphatase 69D
DPTP69D"
947	85	GD	CG32134	1	1	0.98	2	viable	2	available	"FBgn0004412
FBgn0019834
FBgn0022794
FBgn0004600
FBgn0063611
FBgn0000436
FBgn0004420
FBgn0052134
FBgn0005592
FBgn0000654"	"D-FGFR
dev
fgf-r
DFGF-R1
Dfr-2
CG6714
FGFR1
HD-311
devenir
dFGFR
Fibroblast-growth-factor-receptor
FGF receptor
FGFR
CT20816
Fgf-r
Btl
Fibroblast growth factor receptor 1
Dtk2
DmHD-311
btl
BTL/FGFR2
l(3)00208
0844/01
dtk2
breathless
Tk2
lambdatop
Breathless
DFR2"
948	85	GD	CG32134	1	1	0.98	2	viable	3	available	"FBgn0004420
FBgn0000436
FBgn0000654
FBgn0019834
FBgn0005592
FBgn0004412
FBgn0063611
FBgn0052134
FBgn0004600
FBgn0022794"	"Breathless
Dfr-2
Fibroblast growth factor receptor 1
dtk2
Fibroblast-growth-factor-receptor
FGF receptor
Fgf-r
dev
FGFR1
fgf-r
btl
lambdatop
Btl
l(3)00208
breathless
Tk2
FGFR
BTL/FGFR2
0844/01
Dtk2
DFR2
DmHD-311
D-FGFR
CG6714
DFGF-R1
HD-311
devenir
dFGFR
CT20816"
950	85	GD	CG32134	1	1	0.98	2	viable	2	available	"FBgn0004600
FBgn0004412
FBgn0063611
FBgn0000436
FBgn0052134
FBgn0022794
FBgn0000654
FBgn0019834
FBgn0005592
FBgn0004420"	"FGFR1
Dfr-2
Tk2
Btl
DmHD-311
dtk2
FGFR
D-FGFR
BTL/FGFR2
Fgf-r
DFGF-R1
devenir
fgf-r
0844/01
dev
FGF receptor
DFR2
breathless
Dtk2
dFGFR
btl
Fibroblast-growth-factor-receptor
lambdatop
CG6714
CT20816
Breathless
Fibroblast growth factor receptor 1
l(3)00208
HD-311"
951	86	GD	CG4125	1	1	0.99	3	viable	3	temporary unavailable	"FBgn0003285
FBgn0005381
FBgn0001272"	"CT13684
ChiasmC-roughest
UB883
rst/irrecC
rst-irrecC
rst-irreC
Rst
rst
Roughest
roughest
Irregular optic chiasma C/Roughest
irregular optic chiasma C
Irregular chiasm C-roughest protein
Irregular chiasmC-roughest
irregular chiasm-C-roughest
irregular chiasm C-roughest
Irregular-chiasm-C
IRREC/RST
IrreC/Rst
IrreC-Rst
IrreC-rst
irreC-rst
irreC-roughest
irrecC-rst
IrrecC
Irre-C
IrreC
irreC
IREE-C"
953	87	GD	CG5308	1	0	1	2	viable	3	available	FBgn0037908	"CT16895
dpr5
Dpr-5"
954	87	GD	CG5308	1	0	1	2	viable	3	available	FBgn0037908	"Dpr-5
CT16895
dpr5"
956	90	GD	CG3624	1	0	1	2	viable	1	available	FBgn0034724	"Cell adhesion protein
CT12183"
957	90	GD	CG3624	1	0	1	2	viable	1	available	FBgn0034724	"CT12183
Cell adhesion protein"
961	91	GD	CGnone	0	1	0	2	sterile	2	available		
962	91	GD	CGnone	0	1	0	2	viable	2	available		
963	17	GD	CG8896	1	1	0.96	3	viable	2	available	FBgn0004364	"toll
l(2)00053
wheeler
tlr
18-Wheeler
Toll-2
Toll like receptor
18Wheeler
18 Wheeler
CT25100
toll receptor
18w
18W
18wheeler
18-wheeler
18 wheeler"
965	17	GD	CG8896	1	1	0.96	3	viable	2	available	FBgn0004364	"toll receptor
18w
CT25100
18W
18-wheeler
18-Wheeler
18 Wheeler
toll
18 wheeler
tlr
18wheeler
l(2)00053
Toll like receptor
18Wheeler
wheeler
Toll-2"
966	17	GD	CG8896	1	1	0.96	3	lethal	2	available	FBgn0004364	"Toll like receptor
toll receptor
18W
18w
CT25100
wheeler
18Wheeler
18-Wheeler
18 Wheeler
18-wheeler
toll
18wheeler
tlr
l(2)00053
Toll-2
18 wheeler"
968	19	GD	CG1804	1	5	0.9	4	viable	2	available	FBgn0039862	"kek6
kekkon-like"
969	19	GD	CG1804	1	5	0.9	4	viable	2	available	FBgn0039862	"kek6
kekkon-like"
977	75	GD	CG8222	1	0	1	3	viable	2	available	FBgn0032006	"Vegfr-c
Vegfr-b
vgr1
PDGF- and VEGF-receptor related
VEGF receptor
VEGFR
PDGF- and VEGF-related receptor
VGR1
PDGF- and VEGF-Receptor Related
PDGF/VEGF receptor
VEGFR-A
stai
platelet-derived growth factor/vascular endothelial growth factor receptor
Vascular endothelial growth factor receptor
PVF receptor
DmVEGFR
Vgr1
Vegf
CT24332
Vascular endothelial growth factor receptor-1 like
pvr
Vegfr
Pvr
PVR
stasis
8222"
979	94	GD	CG43079	1	0	1	2	viable	3	available	"FBgn0084015
FBgn0262509
FBgn0005629
FBgn0052458"	"CG32458
CT16082
nrm
Neuromusculin
CG41452
neuromusculin
CG8779"
980	94	GD	CG43079	1	0	1	2	viable	3	available	"FBgn0084015
FBgn0262509
FBgn0005629
FBgn0052458"	"CT16082
CG8779
Neuromusculin
CG41452
nrm
CG32458
neuromusculin"
983	96	GD	CG14948	1	0	1	2	viable	3	available	FBgn0030723	"Dpr-18
CT34788
dpr18"
984	96	GD	CG14948	1	0	1	2	viable	2	available	FBgn0030723	"Dpr-18
dpr18
CT34788"
991	104	GD	CG18402	1	0	1	2	lethal	3	available	"FBgn0000456
FBgn0002393
FBgn0000457
FBgn0013984
FBgn0010868"	"insulin/insulin-like growth factor receptor
Inr-beta
DIR
Inr
er10
18402
inr
insulin-like receptor
Insulin-like receptor
Insulin Receptor
insulin receptor homolog
InsR
Insulin-like Receptor
insulin receptor homologue
DIRH
dIRH
DInr
lethal(3)93Dj
l(3)05545
DILR
DIHR
dINR
DInR
insulin receptor
dinr
Dir-b
IR
dInsR
dInR
Insulin receptor
dir
dIR
Dir-a
DIRbeta
insulin-receptor
Inr-alpha
l(3)er10
dInr
INR
l(3)93Dj
InR"
992	104	GD	CG18402	1	0	1	2	viable	3	available	"FBgn0002393
FBgn0010868
FBgn0013984
FBgn0000456
FBgn0000457"	"Dir-a
insulin receptor homologue
insulin receptor
insulin receptor homolog
dIRH
Insulin-like receptor
l(3)93Dj
l(3)er10
IR
l(3)05545
DIRH
er10
DIRbeta
Insulin-like Receptor
DIR
Dir-b
InR
Insulin Receptor
dInr
Inr
dir
insulin-like receptor
insulin-receptor
insulin/insulin-like growth factor receptor
dInR
inr
lethal(3)93Dj
INR
DInR
Inr-beta
Insulin receptor
InsR
dInsR
Inr-alpha
DInr
dINR
dIR
dinr
DIHR
18402
DILR"
997	107	GD	CG42389	1	23	0.78	13	viable	3	available	"FBgn0051738
FBgn0026005
FBgn0259735
FBgn0032589
FBgn0032592
FBgn0032591"	"CT15043
CT15049
CG31738
CG4668
anon-EST:Liang-1.16
CG13260
CG13261
clone 1.16"
998	107	GD	CG42389	1	23	0.78	13	viable	1	available	"FBgn0051738
FBgn0259735
FBgn0032589
FBgn0032591
FBgn0026005
FBgn0032592"	"clone 1.16
CG13260
CG13261
anon-EST:Liang-1.16
CT15043
CG31738
CT15049
CG4668"
1001	108	GD	CG9211	1	1	0.99	4	viable	2	available	FBgn0031872	"iHog
Interference hedghog
interference hedgehog
interference Hedgehog
CT26314
ihog
Interference hedgehog
Ihog"
1003	111	GD	CG42256	1	0	1	2	lethal	3	available	"FBgn0063359
FBgn0263218
FBgn0250790
FBgn0052389
FBgn0259141
FBgn0035749
FBgn0052387
FBgn0035748
FBgn0035747"	"CG8618
CG8619
Dscam-like
CG32389
CG17742
Dscam2
BcDNA:AT03867
CG32387
CT14580
CG14828
Down syndrome cell adhesion molecule 2
CT34644
CT14584"
1012	113	GD	CG6899	1	0	1	0	viable	3	available	FBgn0004368	"Protein tyrosine phosphatase 4E
DPTP4E
PTP4E
CT21187
PtP4E
R-PTP 4E
Ptp4E"
1013	113	GD	CG6899	1	0	1	0	viable	3	available	FBgn0004368	"Protein tyrosine phosphatase 4E
Ptp4E
CT21187
PtP4E
R-PTP 4E
PTP4E
DPTP4E"
1021	118	GD	CG18734	1	0	1	2	viable	3	available	"FBgn0042227
FBgn0004598"	"furin
Furin 2
furin2
Furin
Furin-like protease
Fur2
FUR2
154521_at
DMH#11
fur2
CG4235
Dfurin2
Dfur2"
1025	119	GD	CG42252	1	0	1	3	viable	2	available	"FBgn0041109
FBgn0030714
FBgn0259110
FBgn0030712
FBgn0030713"	"mmd
CG15604
CG15603
mind-meld
Meltrin-like
CT26192
CG9163"
1026	119	GD	CG42252	1	0	1	3	viable	3	available	"FBgn0041109
FBgn0259110
FBgn0030714
FBgn0030712
FBgn0030713"	"CT26192
mmd
CG15603
CG9163
CG15604
Meltrin-like
mind-meld"
1030	120	GD	CG16876	1	1	0.98	3	viable	1	available	"FBgn0028876
FBgn0084507
FBgn0260011"	"BG:DS05899.3
CT35247
NimC4
six-microns-under
nimrod C4
six microns under
simu
nimC4"
1031	127	GD	CG8942	1	0	1	2	viable	3	available	"FBgn0259896
FBgn0083073
FBgn0027847
FBgn0028545"	"CT25688
NimC1
nimrod C1
Nimrod C1
P1
BG:DS00180.10
nimrodC1
nimrod
NimC
nimC1
Nim"
1032	127	GD	CG8942	1	0	1	2	viable	3	available	"FBgn0259896
FBgn0083073
FBgn0028545
FBgn0027847"	"NimC
nimC1
nimrod C1
Nim
Nimrod C1
CT25688
BG:DS00180.10
P1
NimC1
nimrod
nimrodC1"
1038	130	GD	CG32179	1	0	1	3	viable	1	available	"FBgn0052179
FBgn0064124
FBgn0041151
FBgn0036744"	"Keren
Ker
Spitz2
CG8056
CT19073
spitz-2
krn
keren/spitz2
Krn
s-krn
gritz
keren
skrn
spitz2"
1043	133	GD	CG12086	1	0	1	2	viable	3	available	"FBgn0011204
FBgn0035225"	"cueball
CT5570
ms(3)02509
cue"
1047	139	GD	CG9138	1	0	1	3	viable	2	available	FBgn0031879	"CT26172
uninflatable
poly-EGF
SP1070
uif"
1050	139	GD	CG9138	1	0	1	3	viable	2	available	FBgn0031879	"uif
uninflatable
poly-EGF
SP1070
CT26172"
1051	139	GD	CG9138	1	0	1	3	viable	2	available	FBgn0031879	"CT26172
SP1070
uif
poly-EGF
uninflatable"
1052	5	GD	CG5661	1	0	1	3	viable	1	available	"FBgn0250876
FBgn0086382
FBgn0036245
FBgn0028679
FBgn0025685"	"Semaphorin 5C
sema 5c
semiphorin
sema-5c
Sema-5c
Sema-5C
Sema 5c
BG01245
BEST:CK02567
CK02567
CT17880
Semaphorin
semaphorin
semaphorin 5C
Semaphorin-5c"
1054	6	GD	CG2221	1	0	1	2	lethal	3	available	"FBgn0028331
FBgn0030194"	"l(1)G0289
lethal (1) G0289"
1059	21	GD	CG7702	1	0	1	2	viable	2	available	FBgn0038638	"CT23351
connectin-like"
1060	21	GD	CG7702	1	0	1	2	lethal	3	available	FBgn0038638	"CT23351
connectin-like"
1063	23	GD	CG18249	1	0	1	4	viable	3	available	FBgn0037553	CT41336
1064	23	GD	CG18249	1	0	1	4	viable	1	available	FBgn0037553	CT41336
1066	23	GD	CG18249	1	0	1	4	viable	3	available	FBgn0037553	CT41336
1070	26	GD	CG18480	1	0	1	2	viable	3	available	"FBgn0032567
FBgn0027846
FBgn0028518"	"BG:DS07108.4
BcDNA:LP11031
CT42128"
1071	26	GD	CG18480	1	0	1	2	viable	2	temporary unavailable	"FBgn0032567
FBgn0027846
FBgn0028518"	"BG:DS07108.4
CT42128
BcDNA:LP11031"
1089	155	GD	CG10244	1	0	1	2	viable	3	available	"FBgn0022800
FBgn0039289"	"stitcher
Cad96Ca
CG10239
cad96C
DmHD-14
DCad96Ca
Dm Cad96Ca
CT28779
stit
FGFR1-like
HD-14"
1091	155	GD	CG10244	1	0	1	2	viable	2	available	"FBgn0022800
FBgn0039289"	"stit
DmHD-14
Dm Cad96Ca
HD-14
FGFR1-like
stitcher
Cad96Ca
cad96C
CG10239
DCad96Ca
CT28779"
1092	161	GD	CG7100	1	0	1	2	viable	2	available	"FBgn0002007
FBgn0015609
FBgn0019859"	"anon-EST:CL32
ncad
CT21941
D-cad
cad1
B
Cadherin-N
CadherinN
S(DmcycE[JP])2.12
Ncad
N-Cadh
N-Cad
N-cadherin
N-Cadherin
N-cad
NCad
cadN
l(2)Bld
DNcad
lethal(2)36Da
DN
Drosophila neuronal cadherin
DN-cad
DN-cadherin1
DN-CADHERIN
l(2)36Da
DN-Cadherin
DNCad
DN-CAD
DN-Cad
DN cadherin
DN-cadherin
CadN"
1093	161	GD	CG7100	1	0	1	2	viable	2	available	"FBgn0019859
FBgn0002007
FBgn0015609"	"cad1
Drosophila neuronal cadherin
N-Cadh
DN-cadherin
N-cadherin
DN cadherin
CT21941
anon-EST:CL32
DN-Cad
N-Cadherin
DNCad
D-cad
DN
DN-cad
DNcad
cadN
N-Cad
DN-CAD
lethal(2)36Da
CadN
CadherinN
ncad
DN-CADHERIN
l(2)36Da
l(2)Bld
B
Cadherin-N
Ncad
DN-cadherin1
N-cad
NCad
S(DmcycE[JP])2.12
DN-Cadherin"
1095	97	GD	CG15744	1	0	1	2	lethal	2	available	FBgn0030466	CT35992
1096	97	GD	CG15744	1	0	1	2	viable	3	available	FBgn0030466	CT35992
1100	111	GD	CG42256	1	0	1	2	viable	2	available	"FBgn0035747
FBgn0063359
FBgn0035748
FBgn0052387
FBgn0035749
FBgn0250790
FBgn0259141
FBgn0263218
FBgn0052389"	"Down syndrome cell adhesion molecule 2
Dscam2
Dscam-like
CG8618
CT14580
CT34644
CT14584
CG8619
CG14828
CG32389
CG32387
CG17742
BcDNA:AT03867"
1101	115	GD	CG1817	1	0	1	3	viable	3	available	"FBgn0004370
FBgn0019946"	"PTP10D
R-PTP 10D
DPTP
Ptp10
ptp10D
Ptp10D
DPTP10D
dptp
CT4920
Protein tyrosine phosphatase 10D
DPTP[[10D]]
chi"
1102	115	GD	CG1817	1	0	1	3	viable	2	available	"FBgn0019946
FBgn0004370"	"DPTP
dptp
DPTP10D
DPTP[[10D]]
CT4920
chi
PTP10D
Protein tyrosine phosphatase 10D
R-PTP 10D
Ptp10
Ptp10D
ptp10D"
1104	115	GD	CG1817	1	0	1	3	lethal	3	available	"FBgn0004370
FBgn0019946"	"Ptp10
Protein tyrosine phosphatase 10D
CT4920
Ptp10D
PTP10D
R-PTP 10D
chi
dptp
ptp10D
DPTP
DPTP10D
DPTP[[10D]]"
1106	135	GD	CG5634	1	0	1	2	viable	3	available	FBgn0039528	"dsd
Attractin
CT17798
distracted"
1109	143	GD	CG42611	1	0	1	2	lethal	3	available	"FBgn0044776
FBgn0261260
FBgn0030131
FBgn0030130
FBgn0085381
FBgn0085368"	"CT7830
Dm CG34352
anon-WO0140519.108
CG12139
CG34352
CG15316
CG34339
CG12654
Megalin
LDLR-like
SOSIE
LDLR
LDL-receptor-related protein"
1111	143	GD	CG42611	1	0	1	2	lethal	3	available	"FBgn0030131
FBgn0085381
FBgn0044776
FBgn0261260
FBgn0030130
FBgn0085368"	"CG34339
CG12654
CG15316
CG34352
anon-WO0140519.108
CG12139
LDL-receptor-related protein
LDLR
LDLR-like
Megalin
SOSIE
Dm CG34352
CT7830"
1112	144	GD	CG3936	1	0	1	3	viable	2	available	"FBgn0004647
FBgn0026804
FBgn0017616
FBgn0002916
FBgn0024967
FBgn0000311"	"l(1)3Cb
Notch
notchoid
notch
spl
EG:163A10.2
16-178
split
fa
l(1)Ax
facet
shd
16-55
dNotch
Confluens
CT13012
Co
clone 1.12
Chopped
Chp
co
Ax
Abruptex
anon-EST:Liang-1.12
l(1)N
swb
N
EG:140G11.1
nd
strawberry
1.1
n[fah]
Notc"
1128	93	GD	CG31431	1	0	1	2	viable	3	available	"FBgn0038911
FBgn0051431"	"CG13414
CT32770"
1129	93	GD	CG31431	1	0	1	2	lethal	2	available	"FBgn0051431
FBgn0038911"	"CG13414
CT32770"
1140	204	GD	CG10175	1	1	1	2	viable	2	available	FBgn0039084	
1141	205	GD	CG10170	1	0	1	2	viable	2	available	FBgn0039085	
1147	206	GD	CG16732	1	0	1	2	viable	3	available	FBgn0039086	
1148	206	GD	CG16732	1	0	1	2	viable	3	available	FBgn0039086	
1151	207	GD	CG10168	1	0	1	0	viable	3	available	FBgn0039087	
1152	207	GD	CG10168	1	0	1	0	viable	3	available	FBgn0039087	
1156	210	GD	CG16723	1	0	1	2	viable	1	available	FBgn0039092	
1161	213	GD	CG10221	1	0	1	3	viable	2	available	FBgn0028475	"BcDNA:LD23587
Hrd3
HRD3"
1162	213	GD	CG10221	1	0	1	3	viable	3	available	FBgn0028475	"HRD3
Hrd3
BcDNA:LD23587"
1163	213	GD	CG10221	1	0	1	3	viable	3	available	FBgn0028475	"HRD3
BcDNA:LD23587
Hrd3"
1166	218	GD	CG12268	1	0	1	3	viable	3	available	FBgn0039131	
1167	218	GD	CG12268	1	0	1	3	viable	1	available	FBgn0039131	
1172	222	GD	CG6178	1	0	1	3	viable	3	available	FBgn0039156	
1176	225	GD	CG13610	1	1	0.8	2	viable	3	available	"FBgn0029146
FBgn0062704
FBgn0086365
FBgn0039176"	"Organic cation transporter 2
cald
EP(3)1072
Orct2
orct2
calderon
EP1072"
1177	225	GD	CG13610	1	1	0.8	2	viable	3	available	"FBgn0029146
FBgn0086365
FBgn0039176
FBgn0062704"	"EP(3)1072
EP1072
calderon
Organic cation transporter 2
cald
Orct2
orct2"
1181	230	GD	CG17785	1	0	1	3	viable	2	available	FBgn0039188	Golgin84
1186	231	GD	CG17784	1	0	1	3	viable	3	available	FBgn0039192	
